Name,Age (that year),Nationality,Position,Market Value,Season,League,Team
Lisandro López,"Sep 1, 1989 (25)","Argentina""",Centre-Back,€5.50m,2014,Portuguese First Division,Benfica
Jardel,"Mar 29, 1986 (29)","Brazil""",Centre-Back,€4.50m,2014,Portuguese First Division,Benfica
Luisão,"Feb 13, 1981 (34)","Brazil""",Centre-Back,€4.00m,2014,Portuguese First Division,Benfica
Loris Benito,"Jan 7, 1992 (23)","Switzerland""",Centre-Back,€2.50m,2014,Portuguese First Division,Benfica
César Martins,"Dec 28, 1992 (22)",Brazil,Centre-Back,€2.50m,2014,Portuguese First Division,Benfica
Victor Lindelöf,"Jul 17, 1994 (20)",Sweden,Centre-Back,€1.00m,2014,Portuguese First Division,Benfica
Eliseu,"Oct 1, 1983 (31)","Portugal""",Left-Back,€2.10m,2014,Portuguese First Division,Benfica
Maximiliano Pereira,"Jun 8, 1984 (31)",Uruguay,Right-Back,€8.50m,2014,Portuguese First Division,Benfica
André Almeida,"Sep 10, 1990 (24)",Portugal,Right-Back,€6.00m,2014,Portuguese First Division,Benfica
Sílvio,"Sep 28, 1987 (27)",Portugal,Right-Back,€2.50m,2014,Portuguese First Division,Benfica
Enzo Pérez,"Feb 22, 1986 (29)",Argentina,Defensive Midfield,€25.00m,2014,Portuguese First Division,Benfica
Andreas Samaris,"Jun 13, 1989 (26)",Greece,Defensive Midfield,€7.20m,2014,Portuguese First Division,Benfica
Ljubomir Fejsa,"Aug 14, 1988 (26)",Serbia,Defensive Midfield,€5.00m,2014,Portuguese First Division,Benfica
Bryan Cristante,"Mar 3, 1995 (20)","Italy""",Defensive Midfield,€4.50m,2014,Portuguese First Division,Benfica
Rúben Amorim,"Jan 27, 1985 (30)",Portugal,Central Midfield,€4.50m,2014,Portuguese First Division,Benfica
Renato Sanches,"Aug 18, 1997 (17)","Portugal""",Central Midfield,-,2014,Portuguese First Division,Benfica
Miralem Sulejmani,"Dec 5, 1988 (26)",Serbia,Left Midfield,€3.30m,2014,Portuguese First Division,Benfica
Nico Gaitán,"Feb 23, 1988 (27)",Argentina,Attacking Midfield,€26.00m,2014,Portuguese First Division,Benfica
Talisca,"Feb 1, 1994 (21)",Brazil,Attacking Midfield,€9.00m,2014,Portuguese First Division,Benfica
Pizzi,"Oct 6, 1989 (25)",Portugal,Attacking Midfield,€3.20m,2014,Portuguese First Division,Benfica
Hany Mukhtar,"Mar 21, 1995 (20)","Germany""",Attacking Midfield,€1.50m,2014,Portuguese First Division,Benfica
João Teixeira,"Feb 6, 1994 (21)",Portugal,Attacking Midfield,€300k,2014,Portuguese First Division,Benfica
Ola John,"May 19, 1992 (23)","Netherlands""",Left Winger,€7.00m,2014,Portuguese First Division,Benfica
Bebé,"Jul 12, 1990 (24)",Cape Verde,Left Winger,€3.00m,2014,Portuguese First Division,Benfica
Gonçalo Guedes,"Nov 29, 1996 (18)",Portugal,Left Winger,€1.50m,2014,Portuguese First Division,Benfica
Eduardo Salvio,"Jul 13, 1990 (24)",Argentina,Right Winger,€19.50m,2014,Portuguese First Division,Benfica
Hélder Costa,"Jan 12, 1994 (21)","Angola""",Right Winger,€1.50m,2014,Portuguese First Division,Benfica
Jonas,"Apr 1, 1984 (31)","Brazil""",Second Striker,€9.00m,2014,Portuguese First Division,Benfica
Lima,"May 11, 1983 (32)","Brazil""",Centre-Forward,€8.50m,2014,Portuguese First Division,Benfica
Nélson Oliveira,"Aug 8, 1991 (23)",Portugal,Centre-Forward,€4.00m,2014,Portuguese First Division,Benfica
Derley,"Dec 29, 1987 (27)",Brazil,Centre-Forward,€3.50m,2014,Portuguese First Division,Benfica
Jonathan Rodríguez,"Jul 6, 1993 (21)",Uruguay,Centre-Forward,€3.00m,2014,Portuguese First Division,Benfica
Rui Fonte,"Apr 23, 1990 (25)",Portugal,Centre-Forward,€2.00m,2014,Portuguese First Division,Benfica
Franco Jara,"Jul 15, 1988 (26)",Argentina,Centre-Forward,€1.50m,2014,Portuguese First Division,Benfica
Fabiano,"Feb 29, 1988 (27)","Brazil""",Goalkeeper,€5.50m,2014,Portuguese First Division,Porto
Andrés Fernández,"Dec 16, 1986 (28)",Spain,Goalkeeper,€3.00m,2014,Portuguese First Division,Porto
Ricardo Nunes,"Jul 6, 1982 (32)",Portugal,Goalkeeper,€1.25m,2014,Portuguese First Division,Porto
Helton,"May 18, 1978 (37)","Brazil""",Goalkeeper,€1.00m,2014,Portuguese First Division,Porto
Danilo,"Jul 15, 1991 (23)",Brazil,Centre-Back,€20.00m,2014,Portuguese First Division,Porto
Bruno Martins Indi,"Feb 8, 1992 (23)","Netherlands""",Centre-Back,€11.50m,2014,Portuguese First Division,Porto
Maicon,"Sep 14, 1988 (26)","Brazil""",Centre-Back,€8.00m,2014,Portuguese First Division,Porto
Diego Reyes,"Sep 19, 1992 (22)",Mexico,Centre-Back,€5.00m,2014,Portuguese First Division,Porto
Iván Marcano,"Jun 23, 1987 (28)",Spain,Centre-Back,€3.00m,2014,Portuguese First Division,Porto
Alex Sandro,"Jan 26, 1991 (24)",Brazil,Left-Back,€18.00m,2014,Portuguese First Division,Porto
Cote,"Sep 5, 1989 (25)",Spain,Left-Back,€2.70m,2014,Portuguese First Division,Porto
Joris Kayembe,"Aug 8, 1994 (20)",DR Congo,Left-Back,€1.00m,2014,Portuguese First Division,Porto
Ricardo Pereira,"Oct 6, 1993 (21)","Portugal""",Right-Back,€3.75m,2014,Portuguese First Division,Porto
Víctor García,"Jun 11, 1994 (21)","Venezuela""",Right-Back,€1.00m,2014,Portuguese First Division,Porto
Casemiro,"Feb 23, 1992 (23)","Brazil""",Defensive Midfield,€7.00m,2014,Portuguese First Division,Porto
Rúben Neves,"Mar 13, 1997 (18)",Portugal,Defensive Midfield,€5.00m,2014,Portuguese First Division,Porto
Héctor Herrera,"Apr 19, 1990 (25)","Mexico""",Central Midfield,€15.00m,2014,Portuguese First Division,Porto
Óliver Torres,"Nov 10, 1994 (20)",Spain,Central Midfield,€11.00m,2014,Portuguese First Division,Porto
José Campaña,"May 31, 1993 (22)",Spain,Central Midfield,€1.50m,2014,Portuguese First Division,Porto
Juan Fernando Quintero,"Jan 18, 1993 (22)",Colombia,Attacking Midfield,€10.00m,2014,Portuguese First Division,Porto
Evandro,"Aug 23, 1986 (28)","Brazil""",Attacking Midfield,€3.00m,2014,Portuguese First Division,Porto
Yacine Brahimi,"Feb 8, 1990 (25)","Algeria""",Left Winger,€16.00m,2014,Portuguese First Division,Porto
Cristian Tello,"Aug 11, 1991 (23)",Spain,Left Winger,€9.00m,2014,Portuguese First Division,Porto
Hernâni,"Aug 20, 1991 (23)","Portugal""",Left Winger,€3.50m,2014,Portuguese First Division,Porto
Ricardo Quaresma,"Sep 26, 1983 (31)",Portugal,Right Winger,€5.00m,2014,Portuguese First Division,Porto
Kelvin,"Jun 1, 1993 (22)",Brazil,Right Winger,€3.25m,2014,Portuguese First Division,Porto
Ivo Rodrigues,"Mar 30, 1995 (20)",Portugal,Right Winger,€1.20m,2014,Portuguese First Division,Porto
Jackson Martínez,"Oct 3, 1986 (28)",Colombia,Centre-Forward,€32.00m,2014,Portuguese First Division,Porto
Adrián López,"Jan 8, 1988 (27)",Spain,Centre-Forward,€6.50m,2014,Portuguese First Division,Porto
Vincent Aboubakar,"Jan 22, 1992 (23)",Cameroon,Centre-Forward,€5.50m,2014,Portuguese First Division,Porto
Gonçalo Paciência,"Aug 1, 1994 (20)",Portugal,Centre-Forward,€200k,2014,Portuguese First Division,Porto
Rui Patrício,"Feb 15, 1988 (27)",Portugal,Goalkeeper,€18.00m,2014,Portuguese First Division,Sporting CP
Marcelo Boeck,"Nov 28, 1984 (30)","Brazil""",Goalkeeper,€1.30m,2014,Portuguese First Division,Sporting CP
Luís Ribeiro,"Apr 19, 1992 (23)",Portugal,Goalkeeper,€800k,2014,Portuguese First Division,Sporting CP
Maurício,"Sep 20, 1988 (26)",Brazil,Centre-Back,€5.00m,2014,Portuguese First Division,Sporting CP
Paulo Oliveira,"Jan 8, 1992 (23)",Portugal,Centre-Back,€5.00m,2014,Portuguese First Division,Sporting CP
Naby Sarr,"Aug 13, 1993 (21)","Senegal""",Centre-Back,€2.50m,2014,Portuguese First Division,Sporting CP
Tobias Figueiredo,"Feb 2, 1994 (21)",Portugal,Centre-Back,€1.75m,2014,Portuguese First Division,Sporting CP
Ewerton,"Mar 23, 1989 (26)",Brazil,Centre-Back,€1.50m,2014,Portuguese First Division,Sporting CP
Nuno Reis,"Jan 31, 1991 (24)","Portugal""",Centre-Back,€1.50m,2014,Portuguese First Division,Sporting CP
Rami Rabia,"May 20, 1993 (22)",Egypt,Centre-Back,€1.00m,2014,Portuguese First Division,Sporting CP
Domingos Duarte,"Mar 10, 1995 (20)",Portugal,Centre-Back,-,2014,Portuguese First Division,Sporting CP
Jefferson,"Jul 5, 1988 (26)","Brazil""",Left-Back,€7.50m,2014,Portuguese First Division,Sporting CP
Jonathan Silva,"Jun 29, 1994 (21)","Argentina""",Left-Back,€4.00m,2014,Portuguese First Division,Sporting CP
Mica Pinto,"Jun 4, 1993 (22)","Luxembourg""",Left-Back,€750k,2014,Portuguese First Division,Sporting CP
Cédric Soares,"Aug 31, 1991 (23)","Portugal""",Right-Back,€8.50m,2014,Portuguese First Division,Sporting CP
Miguel Lopes,"Dec 19, 1986 (28)",Portugal,Right-Back,€3.00m,2014,Portuguese First Division,Sporting CP
Ricardo Esgaio,"May 16, 1993 (22)",Portugal,Right-Back,€2.75m,2014,Portuguese First Division,Sporting CP
André Geraldes,"May 2, 1991 (24)",Portugal,Right-Back,€800k,2014,Portuguese First Division,Sporting CP
William Carvalho,"Apr 7, 1992 (23)","Portugal""",Defensive Midfield,€22.00m,2014,Portuguese First Division,Sporting CP
Uri Rosell,"Jul 7, 1992 (22)",Spain,Defensive Midfield,€2.00m,2014,Portuguese First Division,Sporting CP
Simeon Slavchev,"Sep 25, 1993 (21)",Bulgaria,Defensive Midfield,€2.00m,2014,Portuguese First Division,Sporting CP
Wallyson,"Feb 16, 1994 (21)",Brazil,Defensive Midfield,€600k,2014,Portuguese First Division,Sporting CP
Adrien Silva,"Mar 15, 1989 (26)","Portugal""",Central Midfield,€10.00m,2014,Portuguese First Division,Sporting CP
João Mário,"Jan 19, 1993 (22)","Portugal""",Central Midfield,€6.50m,2014,Portuguese First Division,Sporting CP
André Martins,"Jan 21, 1990 (25)",Portugal,Central Midfield,€5.00m,2014,Portuguese First Division,Sporting CP
André Carrillo,"Jun 14, 1991 (24)","Peru""",Attacking Midfield,€8.00m,2014,Portuguese First Division,Sporting CP
Ryan Gauld,"Dec 16, 1995 (19)",Scotland,Attacking Midfield,€1.00m,2014,Portuguese First Division,Sporting CP
Matheus Pereira,"May 5, 1996 (19)","Brazil""",Attacking Midfield,€300k,2014,Portuguese First Division,Sporting CP
Chico Geraldes,"Apr 18, 1995 (20)",Portugal,Attacking Midfield,-,2014,Portuguese First Division,Sporting CP
Nani,"Nov 17, 1986 (28)","Portugal""",Left Winger,€16.00m,2014,Portuguese First Division,Sporting CP
Carlos Mané,"Mar 11, 1994 (21)","Guinea-Bissau""",Left Winger,€6.00m,2014,Portuguese First Division,Sporting CP
Diego Capel,"Feb 16, 1988 (27)",Spain,Left Winger,€5.00m,2014,Portuguese First Division,Sporting CP
Héldon,"Nov 14, 1988 (26)",Cape Verde,Left Winger,€2.50m,2014,Portuguese First Division,Sporting CP
Ousmane Dramé,"Aug 25, 1992 (22)","France""",Left Winger,€200k,2014,Portuguese First Division,Sporting CP
Iuri Medeiros,"Jul 10, 1994 (20)",Portugal,Right Winger,€1.20m,2014,Portuguese First Division,Sporting CP
Hadi Sacko,"Mar 24, 1994 (21)","Mali""",Right Winger,€1.00m,2014,Portuguese First Division,Sporting CP
Shikabala,"Mar 5, 1986 (29)",Egypt,Right Winger,€750k,2014,Portuguese First Division,Sporting CP
Cristian Ponde,"Jan 26, 1995 (20)","Portugal""",Right Winger,€500k,2014,Portuguese First Division,Sporting CP
Daniel Podence,"Oct 21, 1995 (19)",Portugal,Right Winger,-,2014,Portuguese First Division,Sporting CP
Gelson Martins,"May 11, 1995 (20)","Portugal""",Right Winger,-,2014,Portuguese First Division,Sporting CP
Islam Slimani,"Jun 18, 1988 (27)",Algeria,Centre-Forward,€10.00m,2014,Portuguese First Division,Sporting CP
Fredy Montero,"Jul 26, 1987 (27)",Colombia,Centre-Forward,€9.50m,2014,Portuguese First Division,Sporting CP
Junya Tanaka,"Jul 15, 1987 (27)",Japan,Centre-Forward,€2.00m,2014,Portuguese First Division,Sporting CP
Diego Rubio,"May 15, 1993 (22)","Chile""",Centre-Forward,€700k,2014,Portuguese First Division,Sporting CP
Matheus,"Mar 29, 1992 (23)","Brazil""",Goalkeeper,€1.50m,2014,Portuguese First Division,Braga
Stanislav Kritsyuk,"Dec 1, 1990 (24)",Russia,Goalkeeper,€750k,2014,Portuguese First Division,Braga
Victor Golas,"Dec 27, 1990 (24)","Brazil""",Goalkeeper,€300k,2014,Portuguese First Division,Braga
Aderllan Santos,"Apr 9, 1989 (26)","Brazil""",Centre-Back,€7.50m,2014,Portuguese First Division,Braga
André Pinto,"Oct 5, 1989 (25)",Portugal,Centre-Back,€1.80m,2014,Portuguese First Division,Braga
Vincent Sasso,"Feb 16, 1991 (24)",France,Centre-Back,€1.60m,2014,Portuguese First Division,Braga
Willy Boly,"Feb 3, 1991 (24)",Cote d'Ivoire,Centre-Back,€1.20m,2014,Portuguese First Division,Braga
Pedro Monteiro,"Jan 30, 1994 (21)",Portugal,Centre-Back,€600k,2014,Portuguese First Division,Braga
Gonçalo Silva,"Jun 4, 1991 (24)",Portugal,Centre-Back,€400k,2014,Portuguese First Division,Braga
Djavan,"Dec 31, 1987 (27)",Brazil,Left-Back,€1.75m,2014,Portuguese First Division,Braga
Tiago Gomes,"Jul 29, 1986 (28)",Portugal,Left-Back,€1.50m,2014,Portuguese First Division,Braga
Núrio Fortuna,"Mar 24, 1995 (20)","Angola""",Left-Back,€200k,2014,Portuguese First Division,Braga
José Gomes,"Jul 20, 1996 (18)",Portugal,Left-Back,-,2014,Portuguese First Division,Braga
Baiano,"Feb 23, 1987 (28)",Brazil,Right-Back,€3.75m,2014,Portuguese First Division,Braga
Marcelo Goiano,"Oct 13, 1987 (27)",Brazil,Right-Back,€400k,2014,Portuguese First Division,Braga
Danilo Barbosa,"Feb 28, 1996 (19)",Brazil,Defensive Midfield,€4.50m,2014,Portuguese First Division,Braga
Mauro,"Oct 31, 1990 (24)",Brazil,Defensive Midfield,€1.70m,2014,Portuguese First Division,Braga
Custódio,"May 24, 1983 (32)",Portugal,Defensive Midfield,€900k,2014,Portuguese First Division,Braga
Nikola Vukcevic,"Dec 13, 1991 (23)",Montenegro,Defensive Midfield,€300k,2014,Portuguese First Division,Braga
João Gamboa,"Aug 31, 1996 (18)",Portugal,Defensive Midfield,-,2014,Portuguese First Division,Braga
Pedro Tiba,"Aug 31, 1988 (26)",Portugal,Central Midfield,€3.50m,2014,Portuguese First Division,Braga
Rúben Micael,"Aug 19, 1986 (28)",Portugal,Central Midfield,€3.00m,2014,Portuguese First Division,Braga
Luíz Carlos,"Jul 5, 1985 (29)",Brazil,Central Midfield,€2.50m,2014,Portuguese First Division,Braga
Nuno Valente,"Nov 22, 1991 (23)",Portugal,Central Midfield,€300k,2014,Portuguese First Division,Braga
Saná Camará,"Dec 29, 1991 (23)","Guinea-Bissau""",Central Midfield,€200k,2014,Portuguese First Division,Braga
Rafa,"May 17, 1993 (22)",Portugal,Left Winger,€7.50m,2014,Portuguese First Division,Braga
Sami,"Dec 18, 1988 (26)","Guinea-Bissau""",Left Winger,€2.50m,2014,Portuguese First Division,Braga
Fábio Martins,"Jul 24, 1993 (21)","Portugal""",Left Winger,€1.00m,2014,Portuguese First Division,Braga
Felipe Pardo,"Aug 17, 1990 (24)",Colombia,Right Winger,€6.00m,2014,Portuguese First Division,Braga
Salvador Agra,"Nov 11, 1991 (23)",Portugal,Right Winger,€2.00m,2014,Portuguese First Division,Braga
Pedro Santos,"Apr 22, 1988 (27)",Portugal,Right Winger,€1.20m,2014,Portuguese First Division,Braga
Alan,"Sep 19, 1979 (35)","Brazil""",Right Winger,€1.00m,2014,Portuguese First Division,Braga
Eri,"Feb 8, 1994 (21)","Portugal""",Right Winger,€150k,2014,Portuguese First Division,Braga
Éder,"Dec 22, 1987 (27)","Portugal""",Centre-Forward,€6.00m,2014,Portuguese First Division,Braga
Zé Luís,"Jan 24, 1991 (24)",Cape Verde,Centre-Forward,€1.50m,2014,Portuguese First Division,Braga
Dolly Menga,"May 2, 1993 (22)","Angola""",Centre-Forward,€750k,2014,Portuguese First Division,Braga
Douglas Jesus,"Mar 9, 1983 (32)",Brazil,Goalkeeper,€900k,2014,Portuguese First Division,Vitória
Assis,"Oct 4, 1989 (25)","Brazil""",Goalkeeper,€900k,2014,Portuguese First Division,Vitória
Miguel Oliveira,"May 25, 1994 (21)",Portugal,Goalkeeper,€50k,2014,Portuguese First Division,Vitória
Miguel Palha,"Feb 26, 1995 (20)",Portugal,Goalkeeper,-,2014,Portuguese First Division,Vitória
Kanu,"May 3, 1984 (31)",Brazil,Centre-Back,€2.00m,2014,Portuguese First Division,Vitória
Josué Sá,"Jun 17, 1992 (23)",Portugal,Centre-Back,€1.50m,2014,Portuguese First Division,Vitória
João Afonso,"May 28, 1990 (25)",Portugal,Centre-Back,€1.50m,2014,Portuguese First Division,Vitória
Khalil Chemmam,"Jul 24, 1987 (27)",Tunisia,Centre-Back,€900k,2014,Portuguese First Division,Vitória
Moreno,"Aug 19, 1981 (33)",Portugal,Centre-Back,€750k,2014,Portuguese First Division,Vitória
Rodrigo Defendi,"Jun 16, 1986 (29)","Brazil""",Centre-Back,€300k,2014,Portuguese First Division,Vitória
Lima Pereira,"Jun 3, 1994 (21)",Portugal,Centre-Back,-,2014,Portuguese First Division,Vitória
Dénis Duarte,"May 4, 1994 (21)",Portugal,Centre-Back,-,2014,Portuguese First Division,Vitória
Adama Traoré,"Feb 3, 1990 (25)",Cote d'Ivoire,Left-Back,€1.25m,2014,Portuguese First Division,Vitória
Breno Lorran,"Mar 6, 1995 (20)",Brazil,Left-Back,€800k,2014,Portuguese First Division,Vitória
Luís Rocha,"Jun 27, 1993 (22)",Portugal,Left-Back,€750k,2014,Portuguese First Division,Vitória
João Vigário,"Nov 20, 1995 (19)",Portugal,Left-Back,-,2014,Portuguese First Division,Vitória
Bruno Gaspar,"Apr 21, 1993 (22)","Angola""",Right-Back,€900k,2014,Portuguese First Division,Vitória
Pedro Correia,"Mar 27, 1987 (28)",Portugal,Right-Back,€500k,2014,Portuguese First Division,Vitória
Alvin Arrondel,"Nov 11, 1993 (21)","France""",Right-Back,€300k,2014,Portuguese First Division,Vitória
André André,"Aug 26, 1989 (25)",Portugal,Central Midfield,€4.00m,2014,Portuguese First Division,Vitória
Cafú,"Feb 26, 1993 (22)","Portugal""",Central Midfield,€1.00m,2014,Portuguese First Division,Vitória
Bakary Bouba Saré,"Apr 5, 1990 (25)",Burkina Faso,Central Midfield,€1.00m,2014,Portuguese First Division,Vitória
Bruno Alves,"Jun 9, 1990 (25)",Portugal,Central Midfield,€500k,2014,Portuguese First Division,Vitória
João Pedro,"Apr 3, 1993 (22)",Portugal,Central Midfield,€100k,2014,Portuguese First Division,Vitória
Joseph Amoah,"Jun 26, 1994 (21)",Ghana,Central Midfield,-,2014,Portuguese First Division,Vitória
Otávio,"Feb 9, 1995 (20)","Portugal""",Attacking Midfield,€3.50m,2014,Portuguese First Division,Vitória
Bernard Mensah,"Oct 17, 1994 (20)",Ghana,Attacking Midfield,€2.00m,2014,Portuguese First Division,Vitória
Rafael Crivellaro,"Feb 18, 1989 (26)","Brazil""",Attacking Midfield,€1.00m,2014,Portuguese First Division,Vitória
David Caiado,"May 2, 1987 (28)","Portugal""",Attacking Midfield,€600k,2014,Portuguese First Division,Vitória
Inters Gui,"Aug 8, 1992 (22)",Cote d'Ivoire,Attacking Midfield,€300k,2014,Portuguese First Division,Vitória
Fábio Vieira,"Jan 12, 1991 (24)",Portugal,Attacking Midfield,-,2014,Portuguese First Division,Vitória
Nassim Zitouni,"Mar 31, 1994 (21)","Algeria""",Attacking Midfield,-,2014,Portuguese First Division,Vitória
Hernâni,"Aug 20, 1991 (23)","Portugal""",Left Winger,€3.50m,2014,Portuguese First Division,Vitória
Sami,"Dec 18, 1988 (26)","Guinea-Bissau""",Left Winger,€2.50m,2014,Portuguese First Division,Vitória
Alex,"Aug 27, 1991 (23)",Portugal,Left Winger,€1.00m,2014,Portuguese First Division,Vitória
Nii Plange,"Jun 26, 1989 (26)",Burkina Faso,Left Winger,€600k,2014,Portuguese First Division,Vitória
Xande Silva,"Mar 16, 1997 (18)","Portugal""",Left Winger,-,2014,Portuguese First Division,Vitória
Ivo Rodrigues,"Mar 30, 1995 (20)",Portugal,Right Winger,€1.20m,2014,Portuguese First Division,Vitória
Filip Knezevic,"Nov 8, 1991 (23)",Serbia,Right Winger,€300k,2014,Portuguese First Division,Vitória
Tomané,"Oct 23, 1992 (22)",Portugal,Centre-Forward,€2.25m,2014,Portuguese First Division,Vitória
Jonatan Álvez,"May 31, 1988 (27)",Uruguay,Centre-Forward,€1.20m,2014,Portuguese First Division,Vitória
Ricardo Gomes,"Dec 18, 1991 (23)",Cape Verde,Centre-Forward,€500k,2014,Portuguese First Division,Vitória
Ricardo Valente,"Apr 3, 1991 (24)",Portugal,Centre-Forward,€500k,2014,Portuguese First Division,Vitória
Rui Areias,"Nov 22, 1993 (21)",Portugal,Centre-Forward,€300k,2014,Portuguese First Division,Vitória
Isaac Cissé,"Feb 3, 1994 (21)",Cote d'Ivoire,Centre-Forward,-,2014,Portuguese First Division,Vitória
Matt Jones,"May 11, 1986 (29)",England,Goalkeeper,€1.80m,2014,Portuguese First Division,Belenenses
Hugo Ventura,"Jan 14, 1988 (27)",Portugal,Goalkeeper,€500k,2014,Portuguese First Division,Belenenses
Rafael Veloso,"Nov 3, 1993 (21)","Portugal""",Goalkeeper,€500k,2014,Portuguese First Division,Belenenses
Filipe Mendes,"Jun 17, 1985 (30)",Portugal,Goalkeeper,€200k,2014,Portuguese First Division,Belenenses
Pedro Cavadas,"Mar 6, 1992 (23)",Portugal,Goalkeeper,€100k,2014,Portuguese First Division,Belenenses
Palmeira,"Sep 24, 1989 (25)",Portugal,Centre-Back,€900k,2014,Portuguese First Division,Belenenses
João Meira,"Apr 30, 1987 (28)",Portugal,Centre-Back,€800k,2014,Portuguese First Division,Belenenses
Steven Thicot,"Feb 14, 1987 (28)","France""",Centre-Back,€700k,2014,Portuguese First Division,Belenenses
Gonçalo Brandão,"Oct 9, 1986 (28)",Portugal,Centre-Back,€650k,2014,Portuguese First Division,Belenenses
João Afonso,"Feb 11, 1982 (33)",Portugal,Centre-Back,€200k,2014,Portuguese First Division,Belenenses
André Teixeira,"Aug 14, 1993 (21)",Portugal,Centre-Back,€100k,2014,Portuguese First Division,Belenenses
Filipe Ferreira,"Sep 27, 1990 (24)",Portugal,Left-Back,€800k,2014,Portuguese First Division,Belenenses
Fábio Nunes,"Jul 24, 1992 (22)",Portugal,Left-Back,€300k,2014,Portuguese First Division,Belenenses
Daniel Martins,"Jun 23, 1993 (22)",Portugal,Left-Back,€250k,2014,Portuguese First Division,Belenenses
Nélson,"Jun 10, 1983 (32)","Portugal""",Right-Back,€1.20m,2014,Portuguese First Division,Belenenses
Adilson,"Nov 25, 1987 (27)","Portugal""",Right-Back,€500k,2014,Portuguese First Division,Belenenses
Pelé,"Sep 29, 1991 (23)","Guinea-Bissau""",Defensive Midfield,€1.00m,2014,Portuguese First Division,Belenenses
Ricardo Dias,"Feb 25, 1991 (24)",Portugal,Defensive Midfield,€700k,2014,Portuguese First Division,Belenenses
Rodrigo Dantas,"Oct 20, 1989 (25)",Brazil,Defensive Midfield,€600k,2014,Portuguese First Division,Belenenses
Helgi Danielsson,"Jul 13, 1981 (33)","Iceland""",Defensive Midfield,€150k,2014,Portuguese First Division,Belenenses
Miguel Rosa,"Jan 13, 1989 (26)",Portugal,Central Midfield,€3.25m,2014,Portuguese First Division,Belenenses
Bruno China,"Aug 5, 1982 (32)",Portugal,Central Midfield,€900k,2014,Portuguese First Division,Belenenses
Dálcio,"May 22, 1996 (19)","Guinea-Bissau""",Central Midfield,€200k,2014,Portuguese First Division,Belenenses
Fredy,"Mar 27, 1990 (25)","Angola""",Attacking Midfield,€1.50m,2014,Portuguese First Division,Belenenses
Tiago Silva,"Jun 2, 1993 (22)",Portugal,Attacking Midfield,€1.25m,2014,Portuguese First Division,Belenenses
Carlos Martins,"Apr 29, 1982 (33)",Portugal,Attacking Midfield,€800k,2014,Portuguese First Division,Belenenses
Fábio Sturgeon,"Feb 4, 1994 (21)","Portugal""",Right Winger,€1.10m,2014,Portuguese First Division,Belenenses
Rui Fonte,"Apr 23, 1990 (25)",Portugal,Centre-Forward,€2.00m,2014,Portuguese First Division,Belenenses
Deyverson,"May 8, 1991 (24)",Brazil,Centre-Forward,€1.00m,2014,Portuguese First Division,Belenenses
Abel Camará,"Jan 6, 1990 (25)","Guinea-Bissau""",Centre-Forward,€800k,2014,Portuguese First Division,Belenenses
Tiago Caeiro,"Mar 29, 1984 (31)",Portugal,Centre-Forward,€500k,2014,Portuguese First Division,Belenenses
Mailó,"Jan 10, 1992 (23)",Cape Verde,Centre-Forward,€400k,2014,Portuguese First Division,Belenenses
Diogo Ribeiro,"Jan 14, 1991 (24)",Portugal,Centre-Forward,€350k,2014,Portuguese First Division,Belenenses
Gottardi,"Jul 22, 1985 (29)","Brazil""",Goalkeeper,€1.90m,2014,Portuguese First Division,Nacional
Rui Silva,"Feb 7, 1994 (21)",Portugal,Goalkeeper,€600k,2014,Portuguese First Division,Nacional
Kéven Sousa,"Jun 6, 1994 (21)",Cape Verde,Goalkeeper,€100k,2014,Portuguese First Division,Nacional
Ali Ghazal,"Feb 1, 1992 (23)",Egypt,Centre-Back,€2.20m,2014,Portuguese First Division,Nacional
Miguel Rodrigues,"Mar 16, 1993 (22)",Portugal,Centre-Back,€2.00m,2014,Portuguese First Division,Nacional
Zainadine,"Jun 24, 1988 (27)",Mozambique,Centre-Back,€1.70m,2014,Portuguese First Division,Nacional
Rui Correia,"Aug 23, 1990 (24)",Portugal,Centre-Back,€600k,2014,Portuguese First Division,Nacional
Freire,"Aug 21, 1989 (25)",Brazil,Centre-Back,€400k,2014,Portuguese First Division,Nacional
Mahmoud Ezzat,"May 5, 1992 (23)",Egypt,Centre-Back,€350k,2014,Portuguese First Division,Nacional
Rony Santos,"Jan 10, 1995 (20)",Cape Verde,Centre-Back,€100k,2014,Portuguese First Division,Nacional
Marçal,"Feb 19, 1989 (26)",Brazil,Left-Back,€2.50m,2014,Portuguese First Division,Nacional
Sequeira,"Aug 19, 1990 (24)",Portugal,Left-Back,€400k,2014,Portuguese First Division,Nacional
Ali Fathi,"Jan 2, 1992 (23)",Egypt,Left-Back,€350k,2014,Portuguese First Division,Nacional
João Aurélio,"Aug 17, 1988 (26)",Portugal,Right-Back,€2.40m,2014,Portuguese First Division,Nacional
Nuno Campos,"Jun 13, 1993 (22)",Portugal,Right-Back,€200k,2014,Portuguese First Division,Nacional
Boubacar Fofana,"Nov 6, 1989 (25)","Guinea""",Defensive Midfield,€600k,2014,Portuguese First Division,Nacional
Sebastián Ayala,"Sep 14, 1995 (19)",Colombia,Defensive Midfield,€300k,2014,Portuguese First Division,Nacional
Christian,"Jun 14, 1989 (26)","Brazil""",Central Midfield,€450k,2014,Portuguese First Division,Nacional
Luís Aurélio,"Aug 17, 1988 (26)",Portugal,Central Midfield,€400k,2014,Portuguese First Division,Nacional
