,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
62,62,62,62,12113,1047,803,"Euros 2020, Qualifiers",Moldova vs Turkey,10.09.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
63,63,63,63,12146,1080,805,"Euros 2020, Qualifiers",Turkey vs Albania,11.10.19,Turkey,TR,2019,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
64,64,64,64,12271,105,3643,"Gold Cup, 2013",United States vs El Salvador,21-07-2013,El Salvador,SV,2013,FAIL,"['Tomás Romero', 'Henry Romero']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tomás Romero', 'Henry Romero']",FALSE,Osael Romero,O Romero,multiple,Done
65,65,65,65,12284,118,3644,"Gold Cup, 2013",El Salvador vs Haiti,16-07-2013,El Salvador,SV,2013,FAIL,"['Tomás Romero', 'Henry Romero']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tomás Romero', 'Henry Romero']",FALSE,Osael Romero,O Romero,multiple,Done
66,66,66,66,12435,269,3651,"Gold Cup, 2013",El Salvador vs Trinidad and Tobago,09-07-2013,El Salvador,SV,2013,FAIL,"['Tomás Romero', 'Henry Romero']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tomás Romero', 'Henry Romero']",FALSE,Osael Romero,O Romero,multiple,Done
67,67,67,67,12754,588,3665,"Gold Cup, 2013",Honduras vs El Salvador,13-07-2013,El Salvador,SV,2013,FAIL,"['Tomás Romero', 'Henry Romero']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tomás Romero', 'Henry Romero']",FALSE,Osael Romero,O Romero,multiple,Done
68,68,68,68,13271,5,2173,"World Cup Qualifiers, Africa, 2022",Gambia vs Angola,06-09-2019,Gambia,GM,2019,FAIL,"['Bubacarr Sanneh', 'Bun Sanneh']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Bubacarr Sanneh', 'Bun Sanneh']",FALSE,Bubacarr Sanneh,B Sanneh,multiple,Done
69,69,69,69,13275,9,2173,"World Cup Qualifiers, Africa, 2022",Gambia vs Angola,06-09-2019,Gambia,GM,2019,FAIL,"['Modou Barrow', 'Musa Barrow']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Modou Barrow', 'Musa Barrow']",FALSE,Musa Barrow,M Barrow,multiple,Done
70,70,70,70,14339,1073,2222,"World Cup Qualifiers, Africa, 2026",Djibouti vs Guinea-Bissau,20-11-2023,Guinea-Bissau,GW,2023,FAIL,"['Toni Gomes', 'Eddi Gomes', 'Adon Gomis']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Toni Gomes', 'Eddi Gomes', 'Adon Gomis']",FALSE,Nito,Nito Gomes,multiple,Done
71,71,71,71,14421,55,4251,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Ecuador,07-Jun-13,Peru,PE,2013,FAIL,"['Hernán Galíndez', 'Fernando León']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Hernán Galíndez', 'Fernando León']",FALSE,Raúl Fernández,Fernández,multiple,Done
72,72,72,72,15129,763,4284,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Venezuela,12-Nov-15,Venezuela,VE,2015,FAIL,"['Luis González', 'Óscar González', 'César González']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 21 Gonzalez",FALSE,Omar Gonzalez,Gonzalez,multiple,Done
73,73,73,73,15936,470,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Myanmar,MM,2023,FAIL,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",FALSE,Aung Thu,Thu Aung,multiple,Done
74,74,74,74,15945,479,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",FALSE,Must Chao Pak Kei,Pang Chi-Hang,multiple,Done
75,75,75,75,15946,480,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Cheng-Fai Sam', 'Chi-Fong Ho']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Cheng-Fai Sam', 'Chi-Fong Ho']",FALSE,Hoi San Cheong,Cheong Hoi San,multiple,Done
76,76,76,76,15947,481,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Chi-Kin Lei', 'Cheng-Lam Lei']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Chi-Kin Lei', 'Cheng-Lam Lei']",FALSE,Cheng Lam Lei,C Lei,multiple,Done
77,77,77,77,15948,482,2751,"World Cup Qualifiers, Asia, 2026",Myanmar vs Macao,12-10-2023,Macao,MF,2023,FAIL,"['Ka-Seng Lam', 'Ka-Pou Lam']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ka-Seng Lam', 'Ka-Pou Lam']",FALSE,Ka Seng Lam,Ka Seng Lam,multiple,Done
78,78,78,78,15993,527,2753,"World Cup Qualifiers, Asia, 2026",Pakistan vs Cambodia,17-10-2023,Cambodia,KH,2023,FAIL,"['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",FALSE,Chanthea Sieng,Sieng Chanthea,multiple,Done
79,79,79,79,16021,555,2755,"World Cup Qualifiers, Asia, 2026",Macao vs Myanmar,17-10-2023,Macao,MF,2023,FAIL,"['Ka-Seng Lam', 'Ka-Pou Lam']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ka-Seng Lam', 'Ka-Pou Lam']",FALSE,Ka Seng Lam,Ka Seng Lam,multiple,Done
80,80,80,80,16022,556,2755,"World Cup Qualifiers, Asia, 2026",Macao vs Myanmar,17-10-2023,Macao,MF,2023,FAIL,"['Chi-Kin Lei', 'Cheng-Lam Lei']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Chi-Kin Lei', 'Cheng-Lam Lei']",FALSE,Cheng Lam Lei,C Lei,multiple,Done
81,81,81,81,16035,569,2755,"World Cup Qualifiers, Asia, 2026",Macao vs Myanmar,17-10-2023,Myanmar,MM,2023,FAIL,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",FALSE,Aung Thu,Thu Aung,multiple,Done
82,82,82,82,17774,108,3797,"Gold Cup, 2023",Guadeloupe vs Guatemala,05-07-2023,Guatemala,GT,2023,FAIL,"['Josué García', 'Wilmer García', 'Nelson García']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Josué García', 'Wilmer García', 'Nelson García']",FALSE,Gabriel Garcia,E García,multiple,Done
83,83,83,83,21317,351,2442,"World Cup Qualifiers, Asia, 2018",Cambodia vs Macao,12-03-2015,Macao,MF,2015,FAIL,"['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Man Chan', 'Pak-Chun Chan', 'Ka-Chon Chang']",FALSE,Must Chao Pak Kei,Pang Chi-Hang,multiple,Done
84,84,84,84,21479,513,2450,"World Cup Qualifiers, Asia, 2018",Kuwait vs Myanmar,03-09-2015,Kuwait,KW,2015,FAIL,"['Abdulrahman Al Enezi', 'Meeian Al Enezi']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Abdulrahman Al Enezi', 'Meeian Al Enezi']",FALSE,Abdulaziz Wadi,Abdel Aziz Al Enezi,multiple,Done
85,85,85,85,21642,676,2457,"World Cup Qualifiers, Asia, 2018",Thailand vs Vietnam,24-05-2015,Vietnam,VN,2015,FAIL,"['Xuan Truong Luong', 'Dinh Tung Hoang', 'Quoc Trung Vuong']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS Nguyễn Trọng Hoàng",FALSE,Trong Hoang Nguyen,Nguyn Trng Hoàng,multiple,Done
86,86,86,86,21999,1033,2474,"World Cup Qualifiers, Asia, 2018",Lebanon vs Kuwait,11-06-2015,Kuwait,KW,2015,FAIL,"['Abdulrahman Al Enezi', 'Meeian Al Enezi']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Abdulrahman Al Enezi', 'Meeian Al Enezi']",FALSE,Abdulaziz Wadi,Abdel Aziz Al Enezi,multiple,Done
87,87,87,87,22050,1084,2477,"World Cup Qualifiers, Asia, 2018",Oman vs Iran,08-10-2015,Oman,OM,2015,FAIL,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",FALSE,Ahmed Kano,Ahmad Almahaijri,multiple,Done
88,88,88,88,22971,905,446,"Euros 2016, Qualifiers",Ireland vs Gibraltar,11.10.14,Ireland,IE,2014,FAIL,"['John OShea', 'Dara OShea']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['John OShea', 'Dara OShea']",FALSE,John Oshea,O`Shea,multiple,Done
89,89,89,89,23049,983,449,"Euros 2016, Qualifiers",Germany vs Ireland,14.10.14,Ireland,IE,2014,FAIL,"['John OShea', 'Dara OShea']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['John OShea', 'Dara OShea']",FALSE,John Oshea,O`Shea,multiple,Done
90,90,90,90,23244,1178,458,"Euros 2016, Qualifiers",Poland vs Georgia,13.06.15,Georgia,GE,2015,FAIL,"['Saba Lobjanidze', 'Elguja Lobjanidze']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Saba Lobjanidze', 'Elguja Lobjanidze']",FALSE,Ucha Lobzhanidze,Lobjanidze,multiple,Done
91,91,91,91,23389,1323,465,"Euros 2016, Qualifiers",Ireland vs Georgia,07.09.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['John OShea', 'Dara OShea']",FALSE,John Oshea,O`Shea,multiple,Done
92,92,92,92,23398,1332,465,"Euros 2016, Qualifiers",Ireland vs Georgia,07.09.15,Georgia,GE,2015,FAIL,"['Saba Lobjanidze', 'Elguja Lobjanidze']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Saba Lobjanidze', 'Elguja Lobjanidze']",FALSE,Ucha Lobzhanidze,Lobjanidze,multiple,Done
93,93,93,93,23455,1389,468,"Euros 2016, Qualifiers",Ireland vs Germany,08.10.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['John OShea', 'Dara OShea']",FALSE,John Oshea,O`Shea,multiple,Done
94,94,94,94,23461,1395,468,"Euros 2016, Qualifiers",Ireland vs Germany,08.10.15,Ireland,IE,2015,FAIL,"['Brian Murphy', 'Daryl Murphy']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Brian Murphy', 'Daryl Murphy']",FALSE,Daryl Murphy,Murphy,multiple,Done
95,95,95,95,23508,1442,470,"Euros 2016, Qualifiers",Germany vs Georgia,11.10.15,Georgia,GE,2015,FAIL,"['Saba Lobjanidze', 'Elguja Lobjanidze']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Saba Lobjanidze', 'Elguja Lobjanidze']",FALSE,Ucha Lobzhanidze,Lobjanidze,multiple,Done
96,96,96,96,23553,1487,472,"Euros 2016, Qualifiers",Poland vs Ireland,11.10.15,Ireland,IE,2015,FAIL,"['John OShea', 'Dara OShea']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['John OShea', 'Dara OShea']",FALSE,John Oshea,O`Shea,multiple,Done
97,97,97,97,24297,31,2377,"World Cup Qualifiers, Asia, 2018",Malaysia vs Palestine,16-06-2015,Malaysia,MY,2015,FAIL,"['Faizal Muhamad', 'Nor Farhan Muhammad']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS  Muhammad A",FALSE,Nor Farhan Muhammad,A Muhammad,multiple,Done
98,98,98,98,24477,211,2385,"World Cup Qualifiers, Asia, 2018",Guam vs India,16-06-2015,India,IN,2015,FAIL,"['Dhanachandra Singh', 'Davinder Singh', 'Dheeraj Singh']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Dhanachandra Singh', 'Davinder Singh', 'Dheeraj Singh']",FALSE,Dheeraj Singh,D Singh,multiple,Done
99,99,99,99,24782,516,2399,"World Cup Qualifiers, Asia, 2018",Bahrain vs Uzbekistan,08-10-2015,Bahrain,BH,2015,FAIL,"['Abdulla Shallal', 'Abdulla Yasser']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS Abdulla Yusuf Helal",FALSE,Yusuf,Abdulla Yusuf Helal,multiple,Done
100,100,100,100,24931,665,2406,"World Cup Qualifiers, Asia, 2018",Sri Lanka vs Bhutan,12-03-2015,Sri Lanka,LK,2015,FAIL,"['Dilan De Silva', 'Dillon De Silva']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Dilan De Silva', 'Dillon De Silva']",FALSE,Dillon De Silva,D De Silva,multiple,Done
101,101,101,101,24967,701,2407,"World Cup Qualifiers, Asia, 2018",Tajikistan vs Bangladesh,12-11-2015,Bangladesh,BD,2015,FAIL,"['Wahed Ahmed', 'Jayed Ahmed', 'Biplu Ahmed']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Wahed Ahmed', 'Jayed Ahmed', 'Biplu Ahmed']",FALSE,Toklis Ahmed,M Ahmed,multiple,Done
102,102,102,102,25672,306,1328,"Olympics, 2016",Iraq vs Denmark,2016-08-04,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nicolai Johansen', 'Nicolai Boilesen']",FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
103,103,103,103,25705,339,1330,"Olympics, 2016",Denmark vs South Africa,2016-08-07,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nicolai Johansen', 'Nicolai Boilesen']",FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
104,104,104,104,25749,383,1332,"Olympics, 2016",Denmark vs Brazil,2016-08-10,Denmark,DK,2016,FAIL,"['Nicolai Johansen', 'Nicolai Boilesen']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nicolai Johansen', 'Nicolai Boilesen']",FALSE,Nicolai Brock Madsen,Nicolai Brock-Madsen,multiple,Done
105,105,105,105,25763,397,1333,"Olympics, 2016",South Africa vs Iraq,2016-08-10,South Africa,ZA,2016,FAIL,"['Tercious Malepe', 'Tsepo Masilela']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tercious Malepe', 'Tsepo Masilela']",FALSE,Tercious Malepe,Repo Malepe,multiple,Done
106,106,106,106,25817,451,1335,"Olympics, 2016",Nigeria vs Japan,2016-08-04,Japan,JP,2016,FAIL,"['Musashi Suzuki', 'Masato Kudo']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Musashi Suzuki', 'Masato Kudo']",FALSE,Masatoshi Kushibiki,Masatoshi Kushibiki,multiple,Done
107,107,107,107,25857,491,1337,"Olympics, 2016",Japan vs Colombia,2016-08-07,Japan,JP,2016,FAIL,"['Shoya Nakajima', 'Seiya Maikuma']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Shoya Nakajima', 'Seiya Maikuma']",FALSE,Shinya Yajima,Shinya Yajima,multiple,Done
108,108,108,108,26044,678,1345,"Olympics, 2016",South Korea vs Mexico,2016-08-10,Mexico,MX,2016,FAIL,"['Julio González', 'Arturo González', 'Hugo González']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Julio González', 'Arturo González', 'Hugo González']",FALSE,Arturo Gonzalez,Alfonso González,multiple,Done
109,109,109,109,26082,716,1347,"Olympics, 2016",Portugal vs Argentina,2016-08-04,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Lautaro Acosta']",FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
110,110,110,110,26088,722,1347,"Olympics, 2016",Portugal vs Argentina,2016-08-04,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
111,111,111,111,26115,749,1349,"Olympics, 2016",Argentina vs Algeria,2016-08-07,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Lautaro Acosta']",FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
112,112,112,112,26122,756,1349,"Olympics, 2016",Argentina vs Algeria,2016-08-07,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
113,113,113,113,26137,771,1350,"Olympics, 2016",Argentina vs Honduras,2016-08-10,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Lautaro Acosta']",FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
114,114,114,114,26144,778,1350,"Olympics, 2016",Argentina vs Honduras,2016-08-10,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
115,115,115,115,26175,809,1351,"Olympics, 2016",Algeria vs Portugal,2016-08-10,Portugal,PT,2016,FAIL,"['Goncalo Ramos', 'Claudio Ramos']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Goncalo Ramos', 'Claudio Ramos']",FALSE,Francisco Ramos,Francisco Ramos,multiple,Done
116,116,116,116,26959,493,2095,"World Cup Qualifiers, Africa, 2022",Eswatini vs Djibouti,10-09-2019,Eswatini,SZ,2019,FAIL,"['Machawe Dlamini', 'Mphikeleli Dlamini', 'Muzi Dlamini', 'Musa Dlamini', 'Melusi Dlamini', 'Mpendulo Dlamini']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 21 M. Dlamini",FALSE,Machawe Dlamini,M Dlamini,multiple,Done
117,117,117,117,27056,590,2099,"World Cup Qualifiers, Africa, 2022",Guinea vs Sudan,09-10-2021,Sudan,SD,2021,FAIL,"['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 2 Abu Agla Abdalla",FALSE,Mohamed Abuaagla,Abu Agla Abdalla,multiple,Done
118,118,118,118,27094,628,2101,"World Cup Qualifiers, Africa, 2022",Equatorial Guinea vs Mauritania,07-09-2021,Mauritania,MR,2021,FAIL,"['Abou Sy', 'Ablaye Sy']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Abou Sy', 'Ablaye Sy']",FALSE,Abou Sy,A Sy,multiple,Done
119,119,119,119,27405,939,2115,"World Cup Qualifiers, Africa, 2022",Congo DR vs Madagascar,07-10-2021,Madagascar,MG,2021,FAIL,"['Tahiana Randrianarisoa', 'Mahavy Tiana Randrianarisoa', 'Jean Dieu Randrianasolo']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tahiana Randrianarisoa', 'Mahavy Tiana Randrianarisoa', 'Jean Dieu Randrianasolo']",FALSE,Mamy Gervais,G Randrianarisoa,multiple,Done
120,120,120,120,27845,279,1429,Nations League 2018-2020,Sweden vs Turkey,10.09.18,Turkey,TR,2018,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
121,121,121,121,27900,334,1432,Nations League 2018-2020,Turkey vs Sweden,17.11.18,Turkey,TR,2018,FAIL,"['Kaan Ayhan', 'Yalçın Ayhan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 22. Ayhan",FALSE,Kaan Ayhan,Ayhan,multiple,Done
122,122,122,122,28121,555,1442,Nations League 2018-2020,Ireland vs Denmark,13.10.18,Ireland,IE,2018,FAIL,"['Shane Long', 'Kevin Long']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 21. Long",FALSE,Kevin Long,Long,multiple,Done
123,123,123,123,28126,560,1442,Nations League 2018-2020,Ireland vs Denmark,13.10.18,Ireland,IE,2018,FAIL,"['Shane Long', 'Kevin Long']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 9. Long",FALSE,Shane Long,Long,multiple,Done
124,124,124,124,28143,577,1443,Nations League 2018-2020,Ireland vs Wales,16.10.18,Ireland,IE,2018,FAIL,"['Shane Long', 'Kevin Long']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 21. Long",FALSE,Kevin Long,Long,multiple,Done
125,125,125,125,28147,581,1443,Nations League 2018-2020,Ireland vs Wales,16.10.18,Ireland,IE,2018,FAIL,"[""Joey O'Brien"", ""Aiden O'Brien""]",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE [""Joey O'Brien"", ""Aiden O'Brien""]",FALSE,Aiden O'Brien,OBrien,multiple,Done
126,126,126,126,28199,633,1445,Nations League 2018-2020,Denmark vs Ireland,19.11.18,Ireland,IE,2018,FAIL,"['Shane Long', 'Kevin Long']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 21. Long",FALSE,Kevin Long,Long,multiple,Done
127,127,127,127,28203,637,1445,Nations League 2018-2020,Denmark vs Ireland,19.11.18,Ireland,IE,2018,FAIL,"[""Joey O'Brien"", ""Aiden O'Brien""]",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE [""Joey O'Brien"", ""Aiden O'Brien""]",FALSE,Aiden O'Brien,OBrien,multiple,Done
